data_year,criminal_act_id,offense_id
2024,6,234895780
2024,3,246186912
2024,6,230182279
2024,6,230182305
2024,6,243812490
2024,6,234895935
2024,6,234895938
2024,1,236513075
2024,6,238037339
2024,6,246186924
2024,8,238037349
2024,1,238037382
2024,6,241944972
2024,6,241944986
2024,6,243812512
2024,8,241944973
2024,1,241944953
2024,6,220415728
2024,2,222641995
2024,1,222642065
2024,6,225526859
2024,4,244630343
2024,6,228362945
2024,6,230837889
2024,6,230837933
2024,3,234015639
2024,6,230837937
2024,3,234015683
2024,1,232004857
2024,1,232004863
2024,8,232004840
2024,6,232004833
2024,6,232004855
2024,8,238300407
2024,14,235249588
2024,6,234015551
2024,8,234016043
2024,8,235249623
2024,6,235249664
2024,6,238300461
2024,3,245373772
2024,6,245373809
2024,6,239628360
2024,14,239628381
2024,1,243812200
2024,8,243812206
2024,1,243812207
2024,6,245373775
2024,8,245373775
2024,6,245373799
2024,8,245373859
2024,8,243812254
2024,8,245373989
2024,8,235682568
2024,6,237462885
2024,6,237462903
2024,6,244238235
2024,12,241945150
2024,9,230837822
2024,1,220420088
2024,8,225534633
2024,9,230837825
2024,6,227255270
2024,6,222643511
2024,6,222644551
2024,6,222644639
2024,6,225528761
2024,6,228364855
2024,6,228364856
2024,6,226745337
2024,8,226745337
2024,3,238300751
2024,3,233485248
2024,6,233485251
2024,3,238300763
2024,6,236220026
2024,6,233485340
2024,1,233485511
2024,3,236220052
2024,6,239629702
2024,6,236220070
2024,6,236220071
2024,6,236220057
2024,3,243813301
2024,6,238300760
2024,6,238300761
2024,6,225534658
2024,6,226744892
2024,6,228808040
2024,6,237462766
2024,12,232006342
2024,14,237462833
2024,2,243264401
2024,6,243264402
2024,6,243264476
2024,6,243264477
2024,7,223367770
2024,9,225527304
2024,6,225527314
2024,8,225527314
2024,6,225527315
2024,8,225527315
2024,6,223367772
2024,6,223367775
2024,3,225527357
2024,9,227254432
2024,9,227254439
2024,9,225527348
2024,9,233483365
2024,6,228363398
2024,9,230837573
2024,3,225527290
2024,6,225527290
2024,9,228363433
2024,9,236218374
2024,8,230837578
2024,12,228363438
2024,6,230837619
2024,7,230837619
